startTime,endTime,spawningIntervalInMinutes,spawningAmount,hasBike,hasCar,prefersBike,prefersCar,usesBikeAndRide,usesOwnBikeOutside,usesOwnCar,source,destination,discriminator
0:00,0:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
1:00,1:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
2:00,2:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
3:00,3:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
4:00,4:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
5:00,5:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
6:00,6:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
7:00,7:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
8:00,8:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
9:00,9:01,5,1,1,0,1,0.1,0,1,0,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
