Longitude,Latitude
10.01051,53.57676
10.01108,53.57594
10.01115,53.57583
10.01121,53.57573
10.01128,53.57563
10.01135,53.57554
10.01138,53.57549
10.01153,53.57527
10.012,53.57458
10.01205,53.5745
10.01213,53.57438
10.0122,53.57429
10.01225,53.57422
10.01284,53.57336
10.01316,53.57289
10.01326,53.57275
10.01393,53.57177
10.01393,53.57177
10.01393,53.57177
10.01404,53.57162
10.01406,53.57158
10.01411,53.5715
10.01418,53.5714
10.01422,53.57134
10.0143,53.57123
10.01517,53.56996
10.01609,53.56861
10.01618,53.56849
10.01624,53.56835
10.01639,53.5676
10.01639,53.5676
10.01634,53.56753
10.01639,53.56718
10.01631,53.56691
10.01641,53.56633
10.01643,53.56626
10.01647,53.56611
10.01652,53.56602
10.01659,53.56587
10.01661,53.56584
10.01667,53.56575
10.01676,53.5653
10.01673,53.56512
10.01664,53.56463
10.01654,53.56432
10.01643,53.5641
10.0161,53.56371
10.01601,53.56361
10.01587,53.56353
10.01577,53.56347
10.01571,53.56343
10.01503,53.56294
10.01491,53.5628
10.0148,53.56268
10.01469,53.5626
10.01469,53.5626
10.01463,53.56251
10.01454,53.5624
10.01436,53.56218
10.01419,53.56201
10.01394,53.56181
10.0137,53.56163
10.01346,53.56148
10.01321,53.56134
10.01304,53.56123
10.01295,53.56117
10.01291,53.56112
10.01288,53.56105
10.01285,53.56101
10.01274,53.56091
10.01251,53.56073
10.01234,53.56065
10.01228,53.56058
10.01219,53.56052
10.01215,53.5605
10.01201,53.56046
10.01194,53.56044
10.01179,53.56042
10.01167,53.56041
10.01161,53.56041
10.01143,53.56042
10.01133,53.56043
10.01126,53.56043
10.01115,53.56042
10.01106,53.56041
10.01062,53.56028
10.01033,53.56014
10.01013,53.56005
10.00957,53.55977
10.00952,53.55974
10.00952,53.55974
10.00952,53.55974
10.00935,53.55962
10.00893,53.5594
10.00851,53.55921
10.0084,53.55916
10.00816,53.55907
10.00774,53.5589
10.00761,53.55885
10.00677,53.5586
10.00582,53.55824
10.00536,53.5581
10.00496,53.55794
10.00459,53.5578
10.00436,53.55773
10.00401,53.55759
10.00379,53.55752
10.00363,53.55749
10.00347,53.55747
10.00333,53.55746
10.00218,53.55744
10.00218,53.55744
10.00216,53.55735
10.00215,53.55731
10.00211,53.55719
10.00208,53.55713
10.00204,53.55709
10.00202,53.55707
10.002,53.55706
10.00198,53.55705
10.00185,53.55696
10.00172,53.55686
10.00141,53.55671
10.00135,53.55669
10.00086,53.55649
